Serial,Company ,Date, Change,NetProfit,NetCapital
32,Company.9,12/31/2015,0.95,-50,950
33,Company.9,6/30/2016,1.035087719,35.0877193,1035.087719
34,Company.9,12/31/2016,0.983050847,-16.94915254,983.0508475
35,Company.9,6/30/2017,1.206896552,206.8965517,1206.896552
36,Company.9,12/31/2017,0.914285714,-85.71428571,914.2857143
37,Company.9,6/30/2018,0.96875,-31.25,968.75
38,Company.9,12/31/2018,1.064516129,64.51612903,1064.516129
39,Company.9,6/30/2019,1.378787879,378.7878788,1378.787879
40,Company.9,12/31/2019,1.043956044,43.95604396,1043.956044
41,Company.9,6/30/2020,0.842105263,-157.8947368,842.1052632
42,Company.9,12/31/2020,0.9,-100,900
43,Company.9,6/30/2021,1.013888889,13.88888889,1013.888889
,,,,,
1,Company.10,6/30/2000,NA,NA,NA
2,Company.10,12/31/2000,1.029850746,29.85074627,1029.850746
3,Company.10,6/30/2001,1.231884058,231.884058,1231.884058
4,Company.10,12/31/2001,1.035294118,35.29411765,1035.294118
5,Company.10,6/30/2002,2.284090909,1284.090909,2284.090909
6,Company.10,12/31/2002,1,0,1000
7,Company.10,6/30/2003,1.004975124,4.975124378,1004.975124
8,Company.10,12/31/2003,0.99009901,-9.900990099,990.0990099
9,Company.10,6/30/2004,0.475,-525,475
10,Company.10,12/31/2004,0.968421053,-31.57894737,968.4210526
11,Company.10,6/30/2005,1.130434783,130.4347826,1130.434783
12,Company.10,12/31/2005,0.951923077,-48.07692308,951.9230769
13,Company.10,6/30/2006,1.070707071,70.70707071,1070.707071
14,Company.10,12/31/2006,1,0,1000
15,Company.10,6/30/2007,1.08490566,84.90566038,1084.90566
15,Company.10,12/31/2007,0.973913043,-26.08695652,973.9130435
17,Company.10,6/30/2008,1.142857143,142.8571429,1142.857143
18,Company.10,12/31/2008,1.0234375,23.4375,1023.4375
19,Company.10,6/30/2009,0.946564885,-53.4351145,946.5648855
20,Company.10,12/31/2009,0.903225806,-96.77419355,903.2258065
21,Company.10,6/30/2010,1.116071429,116.0714286,1116.071429
22,Company.10,12/31/2010,1.024,24,1024
